Category,Name,County,Town,Address,Phone,Hours Of Operation,Operational Notes:,Web Link,Additional Web Link,OpenMaine Changes,Latitude,Longitude,latitude,longitude
Food Pantry,Boothbay Region Food Pantry,Lincoln,Boothbay Harbor,"125 Townsend Avenue
 Boothbay Harbor ME 04538",(207)350-2962,Open Friday 11:30 AM - 1:30 PM,Drive-thru model with pre-packed boxes,https://www.facebook.com/Boothbay-Region-Food-Pantry-956435091052925/,,,,,43.85690843935028,-69.62486333622842
Food Pantry,Bowdoinham Food Pantry,Sagadahoc,Bowdoinham,"9 Main Street
 Bowdoinham ME 04008",(207)837-4569,Wednesday 4:00 PM - 6:00 PM. Emergency boxes available.,Drive-thru model,https://www.facebook.com/BowdoinhamFoodPantry/,,,,,44.00890958534824,-69.89578733360268
Food Pantry,Bread for the Journey - Warren Food Pantry,Knox,Warren,"44 School Street
 Warren ME 04864",(207)273-2285,Thursday from 9:00 AM - 11:00 AM.,"Pre-packed boxes, pre-bagged produce curbside delivery. Emergency boxes available.",https://www.facebook.com/pg/Bread-for-the-Journey-Warren-Food-Pantry-340517510018727/posts/,,,,,44.12095524730217,-69.24719783579572
Food Pantry,Bread of Life Food Pantry,Hancock,Swans Island,"217 Harbor Rd.
 Swans Island ME 04685",(207)526-4024,"Sundays 2:00 PM - 3:00 PM, and by appointment.","Created appointments to minimize community members contact with one another.
 Established a “proxy” pick-up where neighbors/family members can pick up for others.
 Instituted a drive-through model. Also, they are only allowing one person in at a time and asking clients not to bring children in. They are wiping door knobs, refrigerator handles, etc. with Clorox wipes and have a bottle of hand sanitizer by the door for people to use before they come in.",,,,,,44.14787635017803,-68.45136516450675
Meal Sites,Bread of Life Ministries Soup Kitchen,Kennebec,Augusta,"157 Water St
 Augusta ME 04330",(207)621-2541,"Monday - Saturday 11:30 AM - 1:00 PM
 .",Moved to To-Go style meals. The clients pick the meals up at the door instead of coming inside the building.,https://www.facebook.com/MaineBreadofLife/,,,,,44.317460808211685,-69.77330051413826
Food Pantry,Brewer Area Food Pantry - OHI,Penobscot,Brewer,"222 North Main Street
 Brewer ME 04412",(207)848-5804,Serving the first four Mondays and Wednesdays of each month from 10:00 AM - 12:00 PM.,Pre-packed boxes available for pick-up,https://www.ohimaine.org/brewer-area-food-pantry/,,,,,44.79677100000001,-68.762736
Food Pantry,Bridgton Food Pantry - UMC,Cumberland,Bridgton,"214 Main Street
 Bridgton ME 04009",(207)647-3704,Tuesdays from 9:30 AM - 6:00 PM.,Limit to 2 clients at a time with others remaining in their car till their turn.,https://www.facebook.com/UMC-Bridgton-Food-Pantry-858492270893623/,http://www.bridgtonfoodpantry.org/,,,,44.054486999999995,-70.704774
Food Pantry,Buckfield Food Pantry,Oxford,Buckfield,"27 Turner St
 Buckfield ME 04220",(207)336-2776,Second Wednesday of the month from 10:00 AM - 1:00 PM and 5:00 PM - 6:00 PM.,The local schools are giving out lunches daily. Pantry operation will allow 5 people at a time in the facility. Donna is taking calls for emergency meals.,https://healthyoxfordhills.org/resources/buckfield-food-pantry/,,,,,44.288677205378306,-70.36306541494022
Food Pantry,Bucksport Community Concerns,Hancock,Bucksport,"31 Elm St
 Bucksport ME 04416",(207)469-2400,"Wednesdays 9:30 AM - 11:30 AM, 2nd Monday of the month from 5:30 PM - 6:30 PM. Only one household at a time in the pantry. Nonperishables are pre-boxed.","Pre-packed boxes available. Only allowing 1 person in at a time for pick-up. For April 8th distribution only, by appointment only - Call Linda Hayward at (207) 217-3220",https://www.facebook.com/Bucksport-Community-Concerns-329135141000179/,,,,,44.5737563119626,-68.79440657063306
Food Pantry,Burlington Food Pantry,Penobscot,Burlington,"27 Barker Road, Burlington, ME 04417",(207)794-4181,Thursdays from 12:00 PM - 1:00 PM.,Drive up distribution,,,,,,45.22557737301638,-68.41617813918864
Food Pantry,Buxton Community Cupboard,York,Buxton,"938 Long Plains Rd
 Buxton ME 04093",(207)642-2396,Wednesday 6:30 PM- 7:30 PM and Friday 9:30 AM - 10:30 AM.,During COVID-19: closed on Wednesday's and open for regular hours on Friday. Giving out pre-packed boxes curbside,https://www.facebook.com/pages/category/Nonprofit-Organization/Buxton-Maine-Community-Cupboard-1532956603400863/,,,,,43.648738363609965,-70.54138504120269
Food Pantry,Buxton Community Services Co-op,York,Buxton,"937 Long Plains Rd
 Buxton ME 04093",(207)929-8806,"Monday, Wednesday, Friday and Saturday 9:00 AM - 10:00 AM.",Pre-packed boxes available by appointment. Call for emergencies.,https://www.facebook.com/pages/category/Nonprofit-Organization/Buxton-Maine-Community-Cupboard-1532956603400863/,,,,,43.6486447145497,-70.5414144121377
Food Pantry,Camden Area Christian Food Pantry,Knox,Camden,"128 Mt Battie Street
 Camden ME 04843",(207)236-9790,"Tuesday 8:00 AM - 11:00 AM and Thursday 4:00 PM - 6:00 PM, and emergency calls.",Drive-through model. Choose from menu. Emergency boxes and delivery available.,https://www.camdenareachristianfoodpantry.org/,,,,,44.222359883692185,-69.08157519732822
Food Pantry,Canaan Community Food Cupboard,Somerset,Canaan,"272 Main Street
 Canaan ME 04924",(207)474-5408,Open Mondays 1:00 PM - 3:00 PM.,"Pre-packed boxes. 
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.townofcanaan.com/index.php/community/food-cupboard,,,,,44.76199272939146,-69.56221796435143
Food Pantry,Canton Baptist Church Food Pantry,Oxford,Canton,"25 Canton Pt. Road 
 Canton ME 04221",(207)597-2236,Every Sunday 9:00 AM - 10:00 AM.,Drive-thru model with pre-packed boxes. Members stay in their cars and a volunteer will load the box in their vehicle.,https://www.maine.gov/dacf/ard/tefap/bytown.shtml,,,,,44.46926829225578,-70.30023504302036
Food Pantry,Care and Share Food Closet,Franklin,Farmington,"508 Fairbanks Road
 Farmington ME 04938",(207)778-0508,"Monday through Friday, 12:00 PM - 2:00 PM.","Drive thru-model with pre-packed boxes.
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/CareAndShareFoodCloset/,,,,,44.70023776519134,-70.16166515295154
Meal Sites,Caribou Bread of Life Soup Kitchen,Aroostook,Caribou,"62 Collins Street
 Caribou ME 04736",(207)493-4858,"Mondays, Wednesdays, and Fridays from 4:30 - 6:00 PM.",Pre-packed boxes available for pick-up,https://www.facebook.com/CaribouBOLSK/,,,,,46.86172849624908,-68.01796067638062
Food Pantry,Caribou Ecumenical Food Pantry,Aroostook,Caribou,"31 Herschel Street, Suite 1
 Caribou ME 04736",(207)493-4860,Tuesdays and Thursday 8:30 AM - 11:30 AM by appointment only.,"Curbside pickup; new hours starting Tuesday, April 28th.",,,,,,46.86108842714523,-68.01326228864907
Food Pantry,Casco Alliance Church Food Pantry,Cumberland,Casco,"7 Point Sebago Rd
 Casco ME 04015",(207)693-9601,Open 1st Tuesday and 3rd Monday 6:00 PM - 7:00 PM.,Drive-thru model with pre-packed boxes.,https://www.facebook.com/CascoAllianceChurch,http://www.cascoalliancechurch.com/ministries.html,,,,43.93218374848152,-70.53988892209557
Food Pantry,Casco Village Church,Cumberland,Casco,"941 Meadow Rd
 Casco ME 04015",(207)627-4282,4th Thursday of the month from 2:00 PM - 5:30 PM.,Drive-thru model with pre-packed boxes. Patrons have appointment times.,https://www.facebook.com/Casco-Village-Church-United-Church-of-Christ-321613232079/,https://cascovillageucc.org/,,,,44.0044069550464,-70.52231306783443
Meal Sites,Center for Active Living- Town of York,York,York,"36 Main Street
 York ME 03909",(207)363-1036,Mondays at 8:30 AM.,Temporarily Suspended Operations through June 2020.,https://www.facebook.com/YorkMaine/?__tn__=%2Cd%2CP-R&eid=ARAPSbMVoJuWPpy08C70WPRRxCzkPvskvgwqVryxP0Zc03SdppGW06oFy4USlhohhSDk9JLL7a_8fX8k,,,,,43.178311675832376,-70.61045966339621
Food Pantry,CenterPoint Community Church,Somerset,Anson,"16 Church St
 Anson ME 04911",(207)431-0458,"Open Tuesdays, 10:00 AM - 12:00 PM.",Pre-packed boxes.,https://www.facebook.com/CenterPointCom/,,,,,44.79871394171619,-69.89153435178032
Food Pantry,CHEFS,Penobscot,Holden,"202 Kidder Hill Road
 Holden ME 04429",(207)843-7769,"Thursdays 4:00 PM - 6:00 PM, 2nd and 4th Sundays of the month from 8:30 AM - 10:00 AM.",One customer allowed into the pantry at a time.,https://www.rsu63.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=322&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=835&PageID=9,,,,,44.74496947019427,-68.6156977052914
Food Pantry,Chelsea Food Bank,Kennebec,Augusta,"5 Glenridge Dr
 Augusta ME 04330",(207)485-1018,"Monday from 3:00 PM - 4:30 PM
  and Wednesdays from 10:30 AM - 12:00 PM.",Drive-thru model,https://www.facebook.com/pages/category/Charity-Organization/Chelsea-Food-Pantry-1916214918483088/,,,,,44.30480399999999,-69.76431
Food Pantry,Chester Baptist Food Pantry,Penobscot,Chester,"2 South Chester Rd
 Chester ME 04457",(207)447-5516,Mondays 9:30 - 10:30 AM.,,https://www.facebook.com/CBCCARES4U/,,,,,45.42961500000001,-68.4720765
Food Pantry,China Community Food Pantry,Kennebec,China,"1320 Lakeview Dr
 China ME 04358",(207)968-2421,Every Friday and Saturday from 12:00 PM - 1 PM.,Drive-thru model,https://www.facebook.com/China-Community-Food-Pantry-351972704908428/,,,,,44.47505851901436,-69.50886587388175
Food Pantry,Chrysalis Place - Gardiner Food Pantry,Kennebec,Gardiner,"576 Brunswick Road
 Gardiner ME 04345",(207)582-5507,"Tu 6:00 - 8:00 pm, & Th 1:00 - 3:00 pm.",,https://www.facebook.com/FCCFoodPantry,,,,,44.20231197368086,-69.7961221578767
Food Pantry,Church Community Food Pantry - Kennebunk,York,Kennebunk,"34 Portland Rd
 Kennebunk ME 04043",(207)604-0445,Calls received from 9:00 AM - 12:00 PM. Food delivered by 4:00 PM the same day. Produce pantry Friday at 9:00 AM.,Non-perishable pantry (Monday-Friday) is now curbside pickup and not being done through the town hall. Produce pantry will be pre-packed bags for clients to keep social distancing. The pantry has temporarily moved to Vinegar Hill Theatre in Arundel (neighboring Kennebunk) for additional space to allow for social distancing with volunteers.,https://www.holyspiritme.org/?fbclid=IwAR20_N-MFg2efY93u9zhluG9H7E6i9hX6YqREOt7AiG-JCGO8rhsiZLS61k,,,,,43.39236165452763,-70.53378934225978
Food Pantry,Clearwater Ministries-Clearwater Food Pantry,Franklin,Industry,"393 West Mills Road
 Industry ME 04938",(207)778-3368,Mondays 9-11,,,,,,,44.74694537607479,-70.05594350816565
Food Pantry,Clifton Community Food Bank,Penobscot,Clifton,"742 Airline Rd. (Route 9)
 Clifton ME 04428",(207)949-3238,1st Mondays of the month from 9:00 AM - 10:00 AM. 3rd Mondays of the month from 5:00 PM - 6:00 PM. Available for emergencies and by appointment.,"Drive-thru model with pre-packed boxes.
 Established a “proxy” pick-up where neighbors/family members can pick-up for others.",https://www.facebook.com/Clifton-Community-Food-Bank-703253826401143/,,,,,44.8166752492354,-68.5131130896474
Food Pantry,Clinton Community Food Bank,Kennebec,Clinton,"36 Church St
 Clinton ME 04927",(207)314-4095,Temporarily Suspended Operations,Temporarily Suspended Operations.,,,,,,44.637976644468765,-69.50136854593455
Food Pantry,Come Spring Food Pantry,Knox,Union,"51 South Union Rd
 Union ME 04862",(207)785-6063,Open 2nd and 4th Wednesday 9:30 AM - 11:30 AM.,Drive-thru model with pre-packed boxes,https://www.facebook.com/ComeSpringFoodPantry/,,,,,44.21185460975829,-69.26366916004932
Meal Sites,Common Good Soup Kitchen,Hancock,Southwest Harbor,"19 Clark Point Road
 Southwest Harbor ME 04679",(207)479-5313,Delivery meal program available on Fridays - call ahead by Thursday of same week. Dining room and food pantry closed until further notice.,"Pantry unable to have onsite meals and canceled their food pantry service, but is gearing up for delivery program.",https://www.facebook.com/The-Common-Good-Community-168365513183269/,,,,,44.27987940550515,-68.32497092353856
Food Pantry,Community Baptist Church Food Pantry,Androscoggin,Sabattus,"9 Main St, Sabattus ME 04280",(207)375-4337,1st and 3rd Wednesday 9:00 AM - 12:00 PM; 2nd Saturday of the month from 9:00 AM - 12:00 PM.,"Clothing Closet is closed. No one is allowed in the building.
 Pre-packed boxes available for pick-up outside of the pantry door. Table is sanitized between pick-ups.",,,,,,44.11972800000001,-70.107858
Food Pantry,Community Food Pantry - Cumberland,Cumberland,Cumberland,"290 Tuttle Road- Town Hall
 Cumberland ME 04021",(207)831-2294,Friday 2:00 PM - 4:00 PM.,Drive-thru model with pre-packed boxes.,https://www.cumberlandmaine.com/community-food-pantry,,,,,43.78942996422358,-70.24451004760515
Food Pantry,Community Food Pantry Inc - Somersworth,York,Somersworth,"176 West High St
 Somersworth NH 03878",(603)692-2907,"Monday from 10:00 AM-12:00 PM, Wednesday from 6:00 PM - 8:00 PM, and Thursday from 3:00 PM - 5:00 PM.",Drive-thru model. Clients still fill out lists that are filled by volunteers and food is brought to cars. Carts are sanitized between each use.,https://www.facebook.com/SomersworthNH/?rf=133191366732956,,,,,43.26245910346855,-70.89647932517724
Meal Sites,Community Lunch - Norway,Oxford,Norway,"479 Main St
 Norway ME 04268",(207)743-6062,"Wednesdays, 8:00 AM - 1:00 PM.",Two people at a time are allowed in the church to pick up the food that is available.,https://www.facebook.com/NorwayUUChurch/,,,,,44.21406526672053,-70.54473412975359
Meal Sites,Community Table Soup Kitchen,Franklin,Strong,"14 South Main St
 Strong ME 04983",(207)491-5080,"Last full week of the month: Monday - Friday 11:30 AM - 1:00 PM. Serves Strong, Phillips, Avon, Madrid, Salem, New Vineyard, and Farmington.","The town has closed the building, (operates out of the town hall), but the organization is still supplying emergency boxes. Pre-packed boxes are available and established a “proxy” pick-up where neighbors/family members can pick up for others.",,,,,,44.80632137246812,-70.2205194570952
Food Pantry,Corinna UMC Food Pantry,Penobscot,Corinna,"16 Dexter Rd
 Corinna ME 04928",(207)278-4777,Fridays from 12:30 - 2:00 PM.,Drive-thru model with pre-packed boxes distributed through window,https://www.facebook.com/groups/1846693948897141/,,,,,44.92249555066643,-69.25909187082333
Food Pantry,Cornville Athens Community Food Cupboard,Somerset,Cornville,"493 West Ridge Road
 Cornville ME 04976",(207)776-3257,Second Saturday of each month.,Drive-thru model with pre-packed boxes,https://www.facebook.com/pg/kvcapfec/posts/?ref=page_internal,,,,,44.84620837691153,-69.67653894197599
Food Pantry,Crossroads Community Church,Cumberland,Gray,"14 Lewiston Rd
 Gray ME 04039",(207) 657-4541,Sundays 1:00 PM - 2:30 PM.,Pre-packed boxes.,https://www.facebook.com/crossroadsmaine.org/,,,,,43.89151030613422,-70.32770822439267
Food Pantry,Crossroads Food Pantry,Waldo,Morrill,"1106 Augusta Rd
 Morrill ME 04952",(207)342-4044,Wednesdays from 4:00 PM - 6:00 PM. Emergency boxes as needed.,"Pre-packed boxes, pre-bagged produce curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/pages/category/Religious-Organization/Crossroads-to-Calvary-600213743327750/,,,,,44.403268551759375,-69.16575580831982
Food Pantry,Crossroads Ministries Inc,Penobscot,Old Town,"2 Wood St
 Old Town ME 04468",(207)817-6025,"Monday through Friday, 10:30 AM - 2:30 PM. Saturday distribution at Greenbush Town Office, 9:30 AM - 11:00 AM.",No changes as yet.,,,,,,44.939386341652764,-68.64918174326277
Food Pantry,Crosswalk Community Outreach,Cumberland,Naples,"15 Village Green
 Naples ME 04055",207-615-3226,Open every other Monday from 1:00 PM - 3:00 PM.,Drive-thru model with pre-packed boxes and hot prepared meals to-go. Next distribution- 03/30/20 from 1:00 PM - 3:00 PM.,https://www.facebook.com/CrossWalk-Community-Outreach-144265298931171/,https://www.crosswalkcommunityoutreach.com/,,,,43.97098885732023,-70.61082525688144
Meal Sites,Curtis Lake Church,York,Sanford,"38 Westview Drive
 Sanford ME 04073",(207)324-0652,Wednesday and Thursday nights 6:00 PM - 6:30 PM.,Drive-thru option on Wednesday and Thursday nights. Distributing both a prepared meal in a to-go container and a bag of food.,https://www.facebook.com/curtislakechurch/,,,,,43.41430308987856,-70.75264622975969
Food Pantry,Dinner Bell North,Oxford,Fryeburg,"857 Main St
 Fryeburg ME 04037",,"Wednesdays, 2:00 PM -6:00 PM.",,https://www.maine.gov/dacf/ard/tefap/Oxford.shtml,,,,,44.02368607715392,-70.97335004189517
Food Pantry,District Exchange Food Pantry,Oxford,Bethel,"16 Church Street
 Bethel ME 04217",(207)824-0369,Wednesdays 12:00 PM - 2:00 PM; April 1st hours will be 9:00 AM - 6:00 PM.,We have an area task force to get food and medicine to those who need it. Our food pantry is helping in the effort. We have changed our Food Pantry procedure. Clients stay in their car or call and we deliver to their homes. All volunteers will wear masks and gloves. The team that greets cars will be all aged 50 or younger. Also created appointments and extended hours of operation.,https://www.facebook.com/bethelarea,,,,,44.405163706435395,-70.79162814178564
Food Pantry,Dixfield Food Pantry,Oxford,Dixfield,"2 Chapel Rd.
 Dixfield ME 04224",(207)562-7470,"Monday and Thursday, 9:00 AM - 12:00 PM.",The pantry is operating with additional sanitizing precautions and practicing social distancing.,https://www.facebook.com/pages/category/Nonprofit-Organization/Dixfield-Food-Pantry-Sharing-Center-399221573809510/,,,,,44.540861611999475,-70.38231355079952
Food Pantry,Dover-Foxcroft Area FC,Piscataquis,Dover-Foxcroft,"76 North Street
 Dover-Foxcroft ME 04426",(207)717-7529,"2nd and 4th Fridays, 9:00 AM - 12:00 PM and 1:00 PM - 3:00 PM.",Drive-thru model with pre-packed boxes.,https://www.facebook.com/DFAreaFoodCupboard/,,,,,45.18784036219635,-69.23187696615489
Food Pantry,Down East AIDS Network,Penobscot,Bangor,"304 Hancock Street
 Suite 3B
 Bangor ME 04401",(207)990-3626,"Monday through Friday, 9:00 AM - 4:00 PM.",Pre-packed boxes. No produce,https://www.facebook.com/mehealthequity/,,,,,44.803032358329844,-68.75992410727677
Meal Sites,EAAA- Meals on Wheels,Penobscot,Bangor,"1129 Union Street
 (Suite 30 - Airport Mall Annex)
 Bangor ME 04401",(207)941-2865,"Monday through Friday, 8:00 AM - 4:30 PM.",Meals on Wheels and CSFP distributions will continue. Call (207)941-2865 with questions.,https://www.facebook.com/easternaaa/?ref=br_rs,,,,,44.81762004890609,-68.81133001009792
Food Pantry,Ecumenical Food Cupboard - Bangor,Penobscot,Bangor,"28 High St
 Bangor ME 04402",(207)942-4381,"Monday and Friday, 10:30 AM - 12:30 PM.","Drive-thru model, (not serving on Wednesdays for the time being).",https://www.facebook.com/groups/Ecufoodcupboard/,,,,,44.80087981822366,-68.77432091811421
Food Pantry,Emmaus Center Food Pantry,Hancock,Ellsworth,"51 Main St
 Ellsworth ME 04605",(207)667-3962,Emergency food boxes with 24-hour notice required for pick up. Call the office when you arrive and your food box will be delivered to the parking lot (weekdays only). Thursday and Saturday produce and bread services have been cancelled until further notice.,Created appointments to minimize community members’ contact with one another. Drive thru-model with pre-packed boxes.,https://www.facebook.com/Emmaus-Homeless-Shelter-157877550928703/,,,,,44.541063137370976,-68.4252119239426
Meal Sites,Evening Sandwich Program,Kennebec,Waterville,"69 Silver Street
 Universalist Unitarian Church
 Waterville ME 04901",(207)667-6206,"Sunday 4:00 PM- 5:00 PM; Tuesday 4:00 PM- 5:00 PM and 
 Friday 4:00 PM - 5:00 PM","Sunday 4:00 PM- 5:00 PM; Tuesday 4:00 PM- 5:00 PM and 
 Friday 4:00 PM - 5:00 PM",http://uucwaterville.com/evening-sandwich-program/,,,,,44.546751,-69.6352005
